Technology,TechDetail,Metric,Parameter,ParameterDetail,Value,Units,$Year,Scenario,Year,atb_year,Description,ResourceDetail,ResourceDetail2,Source,Notes,TechDetail2
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,270.22,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Battery Central Inverter,24.38,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Structural BOS,2.77,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Electrical BOS,44.84,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Installation Labor & Equipment,12.18,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC Overhead,11.73,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Sale Tax,18.71,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total EPC Cost,384.83000000000004,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Land acquisition,0,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Permitting fee,0.77,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Interconnection fee,5.69,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Contingency,10.95,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Developer overhead,23.09,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,EPC/developer net profit,20.94,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total Developer cost,61.45,$/kWh,2021,Base,2022,2023,,,,,,
Utility Scale Battery Storage,60MW 240MWh,Cost,Capital Cost,Total energy storage system cost,446.28000000000003,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Lithium-ion Battery Cabinets,327.29,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Battery Central Inverter,24.38,$/kWh,2021,Base,2022,2023,,,,,,
Commercial Scale Battery Storage,300kW 1200kWh,Cost,Capital Cost,Structural BOS,17.22,$/kWh,2021,Base,2022,2023,,,,,,
